"_id","type","state","name","experience","education","location","department","requisition_id","description","category","creator_id","creation_date","updated_date","first_publish_date","last_publish_date"
"336f328467f101","Part-Time","archived","test",,,"Fiji",,,"<p>blabka</p>",,"0386c54e2139","2018-03-08T14:56:21.909Z","2018-03-29T17:32:41.443Z",,
"8e7d7a00fb6701","Full-Time","archived","rest",,"Doctorate","Canada",,,"<h2>About the Accounting Manager position</h2>\n<p>We are looking for a skilled Accounting Manager to join our team and help us with supervising, tracking and evaluation of company daily activities. Your duties will include maintaining company's financial status by creating and implementing collection, analytics, verification and reporting practices. We also expect you to collaborate with company's financial department.</p>\n<h2>Accounting Manager responsibilities are:</h2>\n<ul>\n\t<li>\n\t<p>Organize the whole set of daily activities of the accounting department, such as accounts payable/receivable, cash receipts, fixed asset activity, month-end and year-end procedures, trust account statement reconciliations, treasury, budgeting, payroll, etc.</p>\n\t</li>\n\t<li>\n\t<p>Develop and maintain optimized accounting practices</p>\n\t</li>\n\t<li>\n\t<p>Collect and analyze accounting data and prepare financial reports based on the analysis results</p>\n\t</li>\n\t<li>\n\t<p>Review existing systems and procedures and develop optimization suggestions</p>\n\t</li>\n\t<li>\n\t<p>Manage accounting personnel and ensure you meet financial accounting objectives</p>\n\t</li>\n\t<li>\n\t<p>Organize and review annual audits</p>\n\t</li>\n\t<li>\n\t<p>Create and maintain fiscal documentation</p>\n\t</li>\n</ul>\n<h2>Accounting Manager requirements are:</h2>\n<ul>\n\t<li>\n\t<p>3+ years' experience of working on an Accounting Manager, Accounting Supervisor or Finance Manager position</p>\n\t</li>\n\t<li>\n\t<p>Solid experience with bookkeeping and accounting practices,</p>\n\t</li>\n\t<li>\n\t<p>Excellent knowledge of applicable standards and legal regulations</p>\n\t</li>\n\t<li>\n\t<p>Good understanding of MS Office, accounting software and databases</p>\n\t</li>\n\t<li>\n\t<p>Experience of processing large amounts of data</p>\n\t</li>\n\t<li>\n\t<p>Strong team management skills, accuracy and close attention to detail</p>\n\t</li>\n\t<li>BS degree in Accounting or Finance</li>\n</ul>",,"0386c54e2139","2018-03-08T15:53:33.551Z","2018-03-29T17:33:14.156Z",,
"9b791cefe43401","Full-Time","archived","Ingénieur de production – batteries H/F",,,"Paris, FR",,,"<p>Entreprise&nbsp;&nbsp;</p>\n<p>&nbsp;<br>Adoc Talent Management recherche pour son client, une start-up qui conçoit, développe et fabrique des&nbsp;<br>cellules de batterie pour le stockage de l’énergie, un·e Ingénieur de production. Ces batteries peuvent&nbsp;<br>être utilisées pour des voitures et vélo électriques ou encore pour stocker l’énergie issue de sources&nbsp;<br>renouvelables. Cette startup en plein développement et en forte interaction avec des laboratoires de&nbsp;<br>recherche académiques souhaite, à moyen terme, installer des usines afin de produire quelques millions&nbsp;<br>de cellules sur un marché en pleine expansion.&nbsp;<br>&nbsp;<br>Poste&nbsp;&nbsp;<br>&nbsp;<br>Vous intégrez l’équipe où vos responsabilités principales sont de :&nbsp;&nbsp;<br>- Assurer la production et l’envoi des cellules à nos partenaires industriels dans les temps en définissant&nbsp;<br>l’organisation (ou les organisations) les plus adaptées à la production,&nbsp;&nbsp;<br>- Définir les paramètres importants dans le procédé de fabrication des cellules et les optimiser,&nbsp;&nbsp;<br>- Réduire les pertes à chaque étape et améliorer la reproductibilité du procédé de fabrication,&nbsp;&nbsp;<br>-&nbsp; Mettre&nbsp; en&nbsp; place&nbsp; et&nbsp; organiser&nbsp; le&nbsp; contrôle&nbsp; qualité&nbsp; du&nbsp; produit&nbsp; et&nbsp; à&nbsp; toutes&nbsp; les&nbsp; différentes&nbsp; étapes&nbsp; de&nbsp;<br>production,&nbsp;&nbsp;<br>- Collaborer avec les assembleurs de batterie sur les thématiques électrique/électronique&nbsp;&nbsp;<br>- Renforcer la position stratégique de l’entreprise en développant sa propriété intellectuelle et son «&nbsp;<br>know-how ».&nbsp;<br>Profil&nbsp;&nbsp;<br>&nbsp;<br>Etes-vous le candidat idéal ? Vous avez :&nbsp;&nbsp;<br>-&nbsp; Un&nbsp; diplôme&nbsp; d’ingénieur&nbsp; ou&nbsp; équivalent&nbsp; avec&nbsp; quelques&nbsp; années&nbsp; d’expérience&nbsp; dans&nbsp; les&nbsp; domaines&nbsp; de&nbsp;<br>l’électricité ou l’électronique,&nbsp;&nbsp;<br>- La capacité de travailler efficacement et avec rigueur dans l’environnement exigeant d’une start-up&nbsp;<br>(courtes deadlines),&nbsp;&nbsp;<br>-&nbsp; Idéalement,&nbsp; de&nbsp; l’expérience&nbsp; en&nbsp; caractérisation&nbsp; et&nbsp; testing&nbsp; de&nbsp; différents&nbsp; formats&nbsp; de&nbsp; batteries&nbsp; et&nbsp; une&nbsp;<br>connaissance des étapes de production d’une batterie, ou bien une expérience en BMS,&nbsp;&nbsp;<br>- Une très bonne communication orale et écrite en français et anglais,&nbsp;&nbsp;<br>- Un esprit d’équipe avéré et une aisance à collaborer avec des partenaires académiques et industriels,&nbsp;<br>- Une connaissance des règles hygiène et sécurité, que vous respectez.&nbsp;<br>&nbsp;<br>Merci&nbsp; d’envoyer&nbsp; votre&nbsp; candidature&nbsp; (CV&nbsp; +&nbsp; motivations&nbsp; +&nbsp; prétentions&nbsp; salariales)&nbsp; à&nbsp; Adoc&nbsp; Talent&nbsp;<br>Management.&nbsp;</p>\n<p><br></p>",,"0386c54e2139","2018-03-08T16:45:20.058Z","2018-03-29T17:32:29.174Z",,
"2076aad842aa01","Full-Time","closed","Coordonateur·trice de Recherche en Neuroimagerie","Associate","Doctorate","Montréal, QC",,,"<p>Passionné·e de neuroimagerie, vous souhaitez évoluer dans un centre de recherche de premier plan et coordonner des projets ambitieux à l’échelle nationale ?</p>\n<p>Notre client, un centre hospitalo-universitaire majeur à Montréal, cherche un·e Coordonateur·trice de Recherche pour assurer le développement de sa plateforme de neuroimagerie et son rayonnement à travers le Canada.<br></p>\n<p>Vos missions :<br></p>\n<p>• La·e Coordonateur·trice assurera, en étroite collaboration avec le chercheur principal, la supervision de l’ensemble des activités de recherche de l’équipe;<br></p>\n<p>• Il·Elle développera des stratégies et outils permettant une collaboration optimale au sein de l’équipe et entre les partenaires, et s’assurera de l’atteinte des objectifs fixés;<br></p>\n<p>• Il·Elle coordonnera l’activité des différents centres partenaires à travers le Canada, et contribuera au développement de nouveaux partenariats, notamment via des déplacements ponctuels;<br></p>\n<p>• Il·Elle préparera les demandes de fonds auprès des organismes financeurs, assurera la gestion des budgets et le suivi des financements;<br></p>\n<p>• Il·Elle analysera les opportunités scientifiques du domaine, et conceptualisera des projets à&nbsp;développer au sein de la plateforme.</p>\n<p>Votre profil:<br></p>\n<p>• PhD dans le domaine de l’imagerie cérébrale, familiarité avec l’Imagerie par Résonance&nbsp;Magnétique;</p>\n<p>• 2 à 4 ans d’expérience après le PhD en gestion de projet de recherche (post-doc ou coordination de recherche), excellentes capacités d’organisation, de gestion du temps et de priorisation des tâches;<br></p>\n<p>• Bilinguisme (français et anglais) essentiel, excellente communication orale et écrite;<br></p>\n<p>• Excellent contact relationnel, grande finesse politique, capacité à construire des relations de travail harmonieuses avec l’équipe et les partenaires;<br></p>\n<p>• Familiarité avec la gestion de budgets;<br></p>\n<p>• Autonomie et prise d’initiative.<br></p>\n<p>Vous vous reconnaissez dans cette description ? Vous voulez en savoir plus sur le poste ? Contactez-nous !</p>","Other","0386c54e2139","2018-03-08T22:09:58.165Z","2019-04-11T18:57:29.279Z",,
"4debb849b4d801","Full-Time","closed","Deep Learning Researcher",,,"Montreal, QC",,,"<p>Are you passionate about real-world applications of deep learning, and wish to contribute to&nbsp;radical improvement of human-computer voice interactions?</p>\n<p>&nbsp;<br>&nbsp;Do you wish to work in a fast-paced, stimulating environment and join one of Montreal’s most promising AI startups as an early employee?<br>&nbsp;<br>&nbsp;Born at the Montreal Institute for Learning Algorithms (MILA, Université de Montréal), fresh&nbsp;out of YCombinator, backed by prestigious investors and mentored by leading researchers including Yoshua Bengio, our client is looking for a talented Deep Learning Researcher to&nbsp;take their speech synthesis technology to the next level.&nbsp;<br>&nbsp;<br>&nbsp;As a Deep Learning Researcher, you will:<br>&nbsp;<br>&nbsp;• Conduct applied research projects relevant to the development of our client’s cutting-edge&nbsp;text-to-speech technology;<br>&nbsp;<br>&nbsp;• Identify new possible research leads for the development of future products;<br>&nbsp;<br>&nbsp;• Publish your work at (and attend) international Machine Learning conferences;<br>&nbsp;<br>&nbsp;• Provide a technical and strategical opinion on the products;<br>&nbsp;<br>&nbsp;• Take an active role in the recruitment of new employees as the company grows;<br>&nbsp;<br>&nbsp;• Work in Montreal, a world-class AI hub & vibrant multi-cultural city with outstanding quality&nbsp;of life!<br>&nbsp;<br>&nbsp;Your profile:<br>&nbsp;<br>&nbsp;• PhD or MSc in Deep Learning;<br>&nbsp;<br>&nbsp;• Experience with Recurrent Neural Networks, Natural Language Processing and / or&nbsp;attention mechanisms, a plus;<br>&nbsp;<br>&nbsp;• Strong programming skills, esp. in Python and C/C++;<br>&nbsp;<br>&nbsp;• Familiarity with Tensorflow, PyTorch or equivalent frameworks;<br>&nbsp;<br>&nbsp;• Extreme passion and a strong taste for new challenges!<br>&nbsp;<br>&nbsp;Do you feel this position could be a good fit for you? Apply now or contact us for further information</p>","Software Development","0386c54e2139","2018-03-08T22:34:52.764Z","2019-07-08T18:24:14.545Z",,
"0b11abd640cb01","Full-Time","closed","Senior Machine Learning Scientist H/F (CDI)","Entry Level","Doctorate","Lyon, FR",,,"<p></p>\n<p>&nbsp;Entreprise&nbsp;<br>&nbsp;Adoc Talent Management recherche un∙e Senior Machine Learning Scientist, pour une start’up internationale développant des outils d’agrégation et d’analyse des données de millions d’influenceurs sociaux dédiés à l’industrie du marketing du contenu. Aujourd’hui, après d’importantes levées de fonds et une croissance annuelle à deux chiffres, l’entreprise souhaite optimiser encore ses solutions grâce à des technologies de rupture issues du machine learning.&nbsp;<br>&nbsp;<br>&nbsp;Poste&nbsp;<br>&nbsp;Sous la direction du CTO, vous rejoindrez une équipe présentant des compétences fortes en agrégation et analyse de gros volumes de données, dans les approches sémantiques et probabilistes, ainsi que dans le développement full stack et front-end. Vous pourrez apprendre à leurs côtés tout en apportant votre expertise en machine learning. Vous serez responsable, en mode agile, du développement d’un système de recommandation d’influenceurs. Ainsi, vous concevrez l’algorithme et modéliserez son comportement. Vous interviendrez sur la phase de prototypage, l’implémentation des modèles, les tests sur les données clients mais aussi la mise en production et l’intégration.&nbsp;<br>&nbsp;Vous serez amené·e à explorer de nouveaux domaines scientifiques par une veille active, participerez aux événements du domaine, interagirez et monterez des collaborations avec des laboratoires académiques.&nbsp;<br>&nbsp;Une réelle liberté vous sera proposée, aussi bien dans le choix des méthodes que l’organisation de votre travail.&nbsp;<br>&nbsp;<br>&nbsp;Le poste est basé à Lyon (France) où votre parcours d’intégration sera assuré ; néanmoins, vous pourrez par la suite, si vous le souhaitez, travailler à distance grâce à des outils collaboratifs performants en place dans la société. Un salaire motivant est proposé, ainsi que des parts de la société. De belles évolutions sont possibles (gestion d’équipe, mobilité à l’international, etc.).&nbsp;<br>&nbsp;<br>&nbsp;Profil&nbsp;<br>&nbsp;Vous êtes docteur·e et/ou ingénieur·e issu·e des mathématiques appliquées, de l’informatique ou de la physique. Vous avez l’habitude de gérer des gros volumes de données. Vous avez développé une expertise en Machine Learning, notamment sur la génération de modèles prédictifs. Vous aimez mener vos projets de A à Z et possédez de ce fait des compétences en développement : Python et idéalement Ruby ou Go.&nbsp;<br>&nbsp;Une première expérience en entreprise serait appréciée, ou une fibre entrepreneuriale affirmée. Autonomie, proactivité, sens critique, goût pour les challenges techniques et réactivité vous caractérisent. Votre curiosité intrinsèque est un réel moteur qui vous donne l’envie de toujours connaître et tester les dernières approches disponibles. Vous savez travailler en anglais au quotidien. La maîtrise du français serait appréciée.&nbsp;</p>","Software Development","0386c54e2139","2018-03-19T15:56:00.692Z","2018-07-11T13:31:24.343Z",,
"db31d6ba76dd01","Full-Time","closed","Chercheur·euse en Machine Learning pour l'image H/F (CDI)","Associate","Doctorate","Paris, FR",,,"<p><strong>Entreprise </strong>\n  </p>\n<p>Adoc Talent Management recherche un∙e Chercheur·euse en Machine Learning, pour une start’up d’ambition internationale développant des objets connectés innovants tant d’un point de vue technologique que de l’expérience utilisateur. Afin d’optimiser encore ses produits, la société investit dans de nouveaux champs scientifiques, dont le machine learning, le traitement d’image, l’optronique et les systèmes embarqués.\n  </p>\n<p>&nbsp;\n  </p>\n<p><strong>Poste </strong>\n  </p>\n<p>En collaboration directe avec le CEO et l’équipe technique, votre mission sera de mettre à profit les approches issues du machine learning dans des programmes de R&D.\n  </p>\n<p>Plus précisément, dans un premier temps, vous interviendrez dans la conception d’algorithmes de traitement d’image et d’apprentissage automatique, visant une meilleure reconnaissance des formes et caractères. Vous interagirez au quotidien avec les développeurs en charge de l’intégration.\n  </p>\n<p>Aucun interdit&nbsp;: amusez-vous à toujours proposer des fonctionnalités plus originales pour les utilisateurs&nbsp;! Grâce à des cycles très courts entre recherche et production, vous verrez les fruits de votre travail intégrés très rapidement dans les foyers des utilisateurs de par le monde.\n  </p>\n<p>Vous serez amené·e à mettre en œuvre de nouvelles techniques et vous maintenir à la pointe de l’état de l’art par une veille active et des collaborations avec des laboratoires académiques. Vous identifierez et interagirez également avec des fournisseurs de briques technologiques à intégrer.\n  </p>\n<p>&nbsp;\n  </p>\n<p>Le poste est basé à Paris. Il est un tremplin vers de belles perspectives d’évolutions au sein de l’entreprise&nbsp;: gestion de programmes collaboratifs, encadrement de doctorants CIFRE notamment.   </p>\n<p>&nbsp;\n  </p>\n<p><strong>Profil </strong>\n  </p>\n<p>Vous êtes docteur·e issu·e des mathématiques appliquées, de l’informatique ou de la physique, avec une spécialisation dans le Machine Learning. Un post-doc à l’international serait apprécié. Vous témoignez idéalement d’une première expérience réussie de traitement et d’analyse d’images. Vous avez conçu des modèles prédictifs et maîtrisez les réseaux de neurones et bien d’autres techniques de machine learning.&nbsp; Vous codez en C/C++, Python et apprendre de nouveaux langages ne vous fait pas peur.   </p>\n<p>Vous savez organiser votre travail et chercher l’information en autonomie. Vous aimez expérimenter vos idées&nbsp;: identification des technologies; prototypage, caractérisation. Lever des verrous scientifiques vous enthousiasme.   </p>\n<p>Vous recherchez un environnement dynamique et aimez travailler en équipe en français ou en anglais.\n  </p>\n<p>Merci d’envoyer au plus vite votre candidature (CV, publications et brevets, motivations, prétentions salariales) à Adoc Talent Management (<a href=""file:///C:/Users/adoc/Downloads/www.adoc-tm.com"">www.adoc-tm.com</a>)\n</p>\n<p></p>","Other","f831a6d330a1","2018-03-29T17:54:19.415Z","2018-11-16T09:34:18.407Z",,
"4b09219bb22d01","Full-Time","closed","Lead Scientist - Artificial Intelligence","Senior","Doctorate","Montreal, QC",,"ATMAPA18041101","<p>Our client, a leading electronic solutions provider for the high-technology sector, is looking for a talented Lead Scientist in Artificial Intelligence to manage the projects portfolio and contribute to the company’s strategy in its newly created, Montreal-based Artificial Intelligence applied research center.</p>\n<p><span class=""wixGuard""></span></p>\n<p>\n<strong>You will:</strong></p>\n<ul><li>Conduct research projects relevant to the development of our client’s AI solutions in the areas of software engineering, transportation, aerospace and&nbsp;defense & security;</li><li>Publish your research work at (and attend) AI international conferences;</li><li>Manage the R&D projects portfolio of our client’s AI research center;</li><li>Coordinate a team of AI scientists;</li><li>Contribute to our client’s scientific and strategic vision regarding AI, in collaboration with top management and external partners, including top research universities.</li></ul>\n<p>&nbsp;</p>\n<p>\n<strong>Your profile:</strong></p>\n<ul><li>PhD, a must;</li><li>10+ years of experience (including the PhD) in academic and / or industrial research and in AI;<p></p><ul><li>Experience with our client’s solutions areas (software engineering, transportation, aerospace, defense & security), a plus;</li></ul></li><li>Leadership culture and qualities;</li><li>Strong motivation to transfer AI research to industrial solutions.</li></ul>","Other","fbcbded4038b","2018-04-13T18:28:48.792Z","2019-09-25T16:57:01.145Z",,
"ad3da83a8d0701","Full-Time","closed","Ingénieur Deep Learning pour l'image H/F",,,"Magny Les Hameaux, FR",,,"<p></p>\n<p><strong>Entreprise </strong>\n  </p>\n<p>&nbsp;\n  </p>\n<p>Adoc Talent Management recherche pour son client, une société internationale et leader mondial dans le domaine de l’aéronautique, la défense et la sécurité, un(e) Ingénieur Deep Learning et Machine Learning afin de participer au développement de systèmes d’analyse d’image.\n  </p>\n<p>&nbsp;\n  </p>\n<p>&nbsp;\n  </p>\n<p><strong>Missions</strong>\n  </p>\n<p>&nbsp;\n  </p>\n<p>En tant qu'ingénieur de recherche, vous êtes en charge de l'étude, du développement et de la validation de solutions algorithmiques innovantes pour les équipements, systèmes et services du groupe (applications aéronautiques, industrielles, défense).   </p>\n<p>&nbsp;\n  </p>\n<p>Vos principales missions sont les suivantes :   </p>\n<p>- Définition, développement et analyse de solutions algorithmiques innovantes d'analyse d'image et de vidéo répondant aux besoins.   </p>\n<p>- Participation à des collaborations académiques ou internes au groupe pour le développement du programme scientifique de l'équipe sur les technologies modernes de traitement d'image et de vidéo.   </p>\n<p>- Participation à la veille scientifique et technique : veille active et partage vers les membres de l'équipe (présentations, groupes de travail, comptes rendus).\n  </p>\n<p>- Gestion de lots de travaux (Planning, remontée d'information, rédaction de la documentation projet associée).\n  </p>\n<p>&nbsp;\n  </p>\n<p>&nbsp;\n  </p>\n<p><strong>Profil</strong></p>\n<p>&nbsp;\n  </p>\n<p>Vous avez un doctorat, et éventuellement une expérience complémentaire, en traitement de l’image. De solides connaissances en vision par ordinateur Deep Learning et apprentissage statistique sont en effet nécessaires pour ce poste.   </p>\n<p>Des compétences spécifiques dans la manipulation de volume de données importants ainsi qu'une expérience significative dans le domaine de l'analyse d'image pour la perception ou la robotique mobile seraient un plus.\n  </p>\n<p>La maitrise des outils TensorFlow et/ou Pytorch, et/ou Caffé et/ou Torch, C/C++, Python et/ou Matlab est requise.\n  </p>\n<p>Nous recherchons une personne créative avec de vraies compétences dans le domaine de la recherche.\n  </p>\n<p>Autonomie, curiosité, rigueur et goût pour le travail en équipe seront des gages d'épanouissement et de réussite dans ce poste.\n  </p>\n<p>&nbsp;\n  </p>\n<p>&nbsp;\n  </p>\n<p>Merci d’envoyer votre candidature (CV + motivations + prétentions salariales) à Adoc Talent Management.\n</p>",,"d4424f949534","2018-04-17T09:58:27.903Z","2018-07-25T09:10:27.083Z",,
"2365523ef82901","Full-Time","closed","Expert·e en agrégation de données (CDI) H/F",,,"Lyon, FR",,,"<p><b>Entreprise </b>\n  </p>\n<p>Adoc Talent Management recherche un∙e expert∙e en agrégation de données, pour une start’up internationale développant des outils d’agrégation et d’analyse des données de millions d’influenceurs sociaux dédiés à l’industrie du marketing du contenu. Aujourd’hui, après d’importantes levées de fonds et une croissance annuelle à deux chiffres, l’entreprise souhaite étoffer ses équipes afin d’optimiser encore ses solutions en intégrant de nouvelles briques technologiques.\n  </p>\n<p>&nbsp;\n  </p>\n<p><b>Poste </b>\n  </p>\n<p>Au sein de l’équipe technique, votre objectif sera d’optimiser la récupération de nouvelles données et leur indexation pour faciliter l’identification d’influenceurs et comprendre leur influence sur les réseaux. Pour cela, vous devrez identifier de nouvelles sources de données et les méthodologies potentielles d'agrégation de contenu associées (API publique, API privée, Web Scrapper&hellip;). De ce fait, vous modifierez l’API actuelle afin de créer de nouveaux points d’accès à ces sources de données. Vous devrez ensuite les intégrer aux bases de données internes, en adaptant la structure des bases de données.   </p>\n<p>Vous agrégerez des données venant de multiples sources, les analyserez pour en extraire des informations pertinentes et de les insérer dans l’application (front-end) en modifiant si nécessaire les charts et la visualisation des données. Vous gérerez le requêtage des bases de données, participerez à l’architecture des systèmes d’agrégation en veillant aux aspects de scalabilité et au caractère évolutif des solutions. Vous conduirez une veille technologique sur les techniques les plus pertinentes pour gérer le volume et le flux de données.\n  </p>\n<p>&nbsp;\n  </p>\n<p>Vous gérerez ces projets en mode agile et collaborerez avec l’équipe commerciale pour comprendre les attentes des clients.   </p>\n<p>&nbsp;\n  </p>\n<p>&nbsp;\n  </p>\n<p>Le poste est basé à Lyon (France) où votre parcours d’intégration sera assuré pendant un an&nbsp;; néanmoins, vous pourrez par la suite, si vous le souhaitez, travailler à distance grâce à des outils collaboratifs performants en place dans la société. Vous pourrez aussi choisir de vous rejoindre l’équipe technique de New-York. Un salaire motivant est proposé, ainsi que des parts de la société.   </p>\n<p>&nbsp;\n  </p>\n<p><b>Profil </b>\n  </p>\n<p>Vous êtes issu·e d’un doctorat ou d’un cursus d’ingénieur en informatique, fouille de données ou dans un domaine connexe. Vous avez une bonne maîtrise des langages compilés (Go, C++ ) et des API. Vous avez une expérience significative dans la récupération et l’indexation de gros volumes de données, savez les analyser et les valoriser au mieux. Vous êtes largement sensibilisé·e à la nécessité de scalabilité lié au grand volume de requêtes. Une connaissance de Cassandra est un plus.   </p>\n<p>Vous aimez mener vos projets de A à Z avec autonomie et réactivité. Proactivité, sens critique et goût pour les challenges techniques vous caractérisent. Votre curiosité intrinsèque vous donne l’envie de toujours découvrir et tester les dernières approches disponibles. Vous maîtrisez l’anglais ou le français pour favoriser les interactions avec les équipes.   </p>\n<p>Merci d’envoyer au plus vite votre candidature (CV, motivations, prétentions salariales) à Adoc Talent Management (<a href=""file:///C:/Users/adoc/Downloads/www.adoc-tm.com"">www.adoc-tm.com</a>)\n</p>",,"ea766a00bbb5","2018-04-19T12:27:24.781Z","2019-01-28T09:09:07.150Z",,
